"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"Deaths from suicide in young people, aged 11-25 years","Children & young people","Children & young people - Healthy","Deaths from suicide in young people aged 11-25 years; 5-year rolling average number and crude rate per 100,000 people aged 11-25 years.","National Records of Scotland (NRS)",NA,"ICD10: X60-X84, Y87.0, Y10-Y34, Y87.2","Total number of probable suicide deaths in young people aged 11-25 years","Total population aged 11-25 years","Crude rate per 100,000 population","cr","Values less than 5 are suppressed in cases where NRS do not publish these counts","Y",5,"None","11-25 years","Male, Female, All","Calendar year of death registration","2002-2006 to 2020-2024","5-year aggregate","Annual","Scotland, CA, HB, HSCP, PD, ADP","Byar's approximation","With the exception of the deprivation (SIMD) analysis, time series have been refreshed using 2022 census rebased populations from 2011 to 2021.  Deprivation (SIMD) based analysis is only available up to 2023 and should be considered provisional, this time series will be refreshed once rebased and updated SAPE 2024 populations released by NRS (expected Winter 2025).

A suicide is defined as a death resulting from intentional self-harm or undetermined intent. The data comprises suicides occurring in Scotland registered by the National Records of Scotland (NRS). This includes a small proportion of deaths for persons who were not resident in Scotland, who are assigned to their place of death instead, and excludes deaths of residents of Scotland occurring outwith Scotland. Deaths data are analysed by date of registration of death rather than date of death. They will be updated when the 2023 data become available. Published estimates are 5-year rolling averages to allow sufficient counts to enable calculation and comparisons of rates split by gender and SIMD quintile.

In 2011, NRS changed its coding practice with some deaths previously coded under 'mental and behavioural disorders' now being classed as 'self-poisoning of undetermined intent' and consequently as undetermined intent suicides. This indicator presents data based on the new coding rule only; this combined with the need to aggregate over years results in the lack of trend data being available. 
 
 The indicator is presented as a crude rate per 100,000 population. Standardisation has not been applied due to the small numbers in some geographical areas. Standardisation of rates calculated from small numbers can result in large fluctuations which may in fact be due to just a few deaths.","[Probable suicides statistics](https://www.nrscotland.gov.uk/publications/probable-suicides-2024/#)",NA,"Sep-2025","Sep-2026","Higher numbers are worse","L","NRS (SMR99) - Data extracted by ScotPHO from NRS extract",1,"CYP-Healthy",NA,NA,"Deaths","Y","CYP-Healthy;;","[Suicides section](https://www.scotpho.org.uk/health-conditions/suicide/introduction-and-policy-context/)"
"Deaths in children, aged 1-15 years","Children & young people","Children & young people - Healthy","Deaths in children aged 1-15 years; 5-year rolling average number and crude rate per 100,000 people aged 1-15 years.","National Records of Scotland (NRS)",NA,"N/A","Total number of deaths in young people aged 1-15 years","Total population aged 1-15 years","Crude rate per 100,000 population","cr","None","N",0,"None","1-15 years","All","Calendar year","2002-2006 to 2019-2023","5-year aggregate","Annual","Council area, Health board","Byar's approximation","The indicator is presented as a crude rate per 100,000 population. Standardisation has not been applied due to the small numbers in some geographical areas. Standardisation of rates calculated from small numbers can result in large fluctuations which may in fact be due to just a few deaths.
  
  Data is extracted from the mortality dataset provided by NRS.","National Records of Scotland publish annual deaths data in their [Vital Events Reference Tables](https://www.nrscotland.gov.uk/publications/vital-events-reference-tables-2023/).",NA,"Dec-2024","Oct-2025","Higher numbers are worse","L","NRS (SMR99) - we extract data from catalogue",1,"CYP-Healthy",NA,NA,"Deaths","N","CYP-Healthy;;","[Pregnancy, births and maternity: stillbirth, neonatal and infant deaths, and maternal deaths section](https://www.scotpho.org.uk/population-dynamics/pregnancy-births-and-maternity/data/pregnancy-outcomes-stillbirth-neonatal-and-infant-deaths-and-maternal-deaths/)"
"Deaths, aged 15-44 years","Health & wellbeing,Care & wellbeing","Life expectancy & mortality","Deaths from all causes (ages 15-44 years), 3 year rolling average number and directly age sex standardised rate per 100,000 population. 
  
 All rates have been standardised against the European standard population (ESP2013). 
  
 Deaths assigned to year based on death registration date.","National Records of Scotland (NRS)",NA,"All Causes","All deaths in Scottish residents ages 15 to 44 years","Mid year population estimates for 15-44 years","Age-sex standardised rate per 100,000","sr","None","N",0,"None","15-44 years","All","Calendar year","2002-2004 to 2020-2023 (3 year rolling average).","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.

Death figures are based on year of registration.","National Records of Scotland publish annual deaths data in their [Vital Events Reference Tables](https://www.nrscotland.gov.uk/publications/vital-events-reference-tables-2023/).",NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","NRS (SMR99) - we extract data from catalogue",2,"HWB-Life expectancy & mortality",NA,NA,"Deaths",NA,"HWB-Life expectancy & mortality;","[Deaths section](https://www.scotpho.org.uk/population-dynamics/deaths/)"
"Deaths, under 75 years","Health & wellbeing",NA,"The number of deaths (all causes, aged <75 years), directly age sex standardised rate per 100,000 population. All rates have been standardised against the European standard population (ESP2013).","National Records of Scotland (NRS)","Reducing premature mortality is a national outcome for health and social care partnerships in Scotland. Change in this indicator over time may partly reflect change in health and social care delivery, but will also reflect change in the wider determinants of health.","All casues","Number of deaths from any cause that occurred in a given year.","Estimated number of people alive at mid-point in the current calendar year (30th June)","Age-sex standardised rate per 100,000","sr","Values less than 5 are suppressed","Y",5,"None","Aged <75 years","All","Calendar year ","2002-2004 to 2021-2023","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.","National Records of Scotland publish annual deaths data in their [Vital Events Reference Tables](https://www.nrscotland.gov.uk/publications/vital-events-reference-tables-2023/).",NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland/NRS",1,"CWB-Overarching indicators",NA,NA,"Deaths",NA,"CWB-Over arching indicators;;","[Deaths section](https://www.scotpho.org.uk/population-dynamics/deaths/)"
"Developmental concerns at 27-30 months","Children & young people,Care & wellbeing","Children & young people - Nurtured","Children with one or more developmental concerns at 27-30 month review; 3-year rolling average number and percentage of all children reviewed.","Child Health Systems Programme Pre-school (CHSP-PS), Public Health Scotland",NA,"N/A","Total number of children with 1 or more developmental concern recorded at 27-30 month review","Total number of children receiving a 27-30 month review","Percentage","%","None","N",0,"None","27-30 months","All","Financial year","2013/14 to 2023/24 (3-year aggregates)","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","The 27-30 month review is a universal assessment offered to every child reaching the appropriate age. It was introduced in Scotland in April 2013. The 27-30 month review records capture the outcome of developmental assessment for the following 9 domains: social; emotional; behavioural; attention; speech language & communication; gross motor; fine motor; vision and hearing. 
 
 The analysis looks at the responses for all 9 domains to establish the presence of one (or more) concern. All percentages are based on the total number of reviews provided.","[Child health pre-school review coverage](https://publichealthscotland.scot/publications/child-health-pre-school-review-coverage/)",NA,"Jul-2025","Jul-2026","Higher numbers are worse","L","Public Health Scotland",2,"CYP-Nurtured","CWB-Early years",NA,NA,NA,"CYP-Nurtured;CWB-Early years;",NA
"Domestic abuse","Health & wellbeing","Crime","Number of domestic abuse incidents and rate per 10,000 population.","Scottish Government (Scottish Crime Statistics)",NA,"N/A","Number of domestic abuse incidents and crimes recorded by Police Scotland",NA,"Crude rate per 10,000 population","cr","None","N",0,"None","All","All","Financial year","2013/14 - 2023/2024","Single year","Annual","Council area, Health board, HSCP, ADP, Scotland","Byar's approximation","The Domestic Abuse (Scotland) Act 2019 was enacted on 1 April 2019. However, in 2023/24 the Act accounted for only 5% of crimes and offenses recorded as part of a domestic abuse incident. The majority of domestic abuse incidents did not include the recording of a crime of offense in 2023/24 (32%).","[Domestic abuse in Scotland statistics](https://www.gov.scot/collections/domestic-abuse-in-scotland-statistics/)",NA,"Apr-2025","Apr-2026","Higher numbers are worse","L","SG - domestic abuse incidents recorded by the Police in Scotland",1,"HWB-Crime",NA,NA,NA,"N","HWB-Crime;","[Crime and violence section](https://www.scotpho.org.uk/wider-determinants/crime-and-violence/)"
"Drug and alcohol co-dependency treatment waiting times - % where LDP Standard (90%) not met","Alcohol, Drugs","Drugs-Services, Alcohol-Services","The LDP Standard is that 90% of people referred for help with problematic drug or alcohol use will wait no longer than three weeks for specialist treatment that supports their recovery. ","These data were extracted from the Drug and Alcohol Information System (DAISy) and its predecessor the Drug and Alcohol Treatment Waiting Times (DATWT) database. DAISy was available in all NHS Boards from April 2021 and replaces two previous systems: the DATWT database and the Scottish Drug Misuse Database (SDMD). DAISy and its predecessors hold data in relation to drug and alcohol treatments and waiting times from services throughout Scotland delivering tier 3 and 4 interventions (i.e. structured community and residential treatment).",NA,"N/A","Number of referrals waiting more than 3 weeks","All referrals","Percentage","%","None","N",0,"None","All","All","Financial year","2020/21-2022/23","Single year","Annual","Alcohol & drug partnership, Health board, Scotland","Wilson's Score method","The implementation of DAISy introduced changes to how data are captured, and these should be considered when making comparisons over time. A 'co-dependency' substance type was introduced for cases where the referral relates to treatment for problematic use of both alcohol and drugs. Previously in DATWT, such cases would have been allocated to either ’alcohol’ or ‘drug’ depending on the substance considered the dominant issue. 
 These data relate to number of referrals rather than number of individuals. Where people are referred to more than one service, they have more than one referral.
 Data includes referrals to community-based services (referrals to prison-based services are excluded).
 ADPs have the responsibility of ensuring the submission of accurate and up-to-date information by treatment services. To this end, each quarter ADPs are asked to check and confirm the data for their area. If an ADP is unable to confirm the data for a service, then the service is excluded from the data (both for the period of non-submission and all other periods). Ten (of 204) services have been excluded from this release as they were unable to confirm their data. For more information on the services excluded, see Section 5 of the National drug and alcohol treatment waiting times report, 1 April 2022 to 30 June 2022, available here: https://publichealthscotland.scot/publications/show-all-releases?id=20553","[National drug and alcohol treatment waiting times](https://publichealthscotland.scot/publications/national-drug-and-alcohol-treatment-waiting-times/)",NA,"Nov-2023","Oct-2025","Higher numbers are worse","L","Public Health Scotland, Drugs Team",1,"DRG-Services","ALC-Services",NA,"Referrals",NA,"DRG-Services;ALC-Services;","[Drug use: treatment for drug use section](https://www.scotpho.org.uk/risk-factors/drugs/data/treatment-for-drug-use/)"
"Drug crimes recorded","Drugs, Health & wellbeing","Crime, Community safety, Crime","Number of drug crimes recorded by the police and rate per 10,000 population.","Scottish Government",NA,"N/A","Number of drug crimes recorded by the police.","Total population","Crude rate per 10,000 population","cr","None","N",0,"None","All","All","Financial year","2015/16 - 2024/25","Single year","Annual"," HSC, Council area, Health board, ADP, Scotland","Byar's approximation","These data were extracted from the Police Scotland data repository, called the Source for Evidence Based Policing (SEBP). Prior to 2020/21, the data were collected from the Scottish Operational and Management Information System (ScOMIS). The Scottish Government found [strong alignment](https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2024/06/recorded-crime-scotland-2023-24/documents/recorded-crime-scotland-2023-24/recorded-crime-scotland-2023-24/govscot%3Adocument/recorded-crime-scotland-2023-24.pdf#page=64) between the administrative systems.

This indicator includes the following crimes: Bringing drugs into prison, Other drugs offences (incl. importation), Possession of drugs, Production, manufacture or cultivation of drugs, Supply of drugs (incl. possession with intent). 
","[Recorded crime in Scotland statistics](https://www.gov.scot/collections/recorded-crime-in-scotland/)",NA,"Oct-2025","Oct-2026","Higher numbers are worse","L","Police Scotland - Source for Evidence-Based Policing",2,"HWB-Crime","DRG-Community safety",NA,NA,NA,"HWB-Crime;DRG-Community safety;","[Drug use: social harm section](https://www.scotpho.org.uk/risk-factors/drugs/data/social-harm/)"
"Drug treatment waiting times - % where LDP Standard (90%) not met","Drugs","Drugs-Services","The LDP Standard is that 90% of people referred for help with problematic drug or alcohol use will wait no longer than three weeks for specialist treatment that supports their recovery. ","These data were extracted from the Drug and Alcohol Information System (DAISy) and its predecessor the Drug and Alcohol Treatment Waiting Times (DATWT) database. DAISy was available in all NHS Boards from April 2021 and replaces two previous systems: the DATWT database and the Scottish Drug Misuse Database (SDMD). DAISy and its predecessors hold data in relation to drug and alcohol treatments and waiting times from services throughout Scotland delivering tier 3 and 4 interventions (i.e. structured community and residential treatment).",NA,"N/A","Number of referrals waiting more than 3 weeks","All referrals","Percentage","%","None","N",0,"None","All","All","Financial year","2011/12 - 2022/23","Single year","Annual","Alcohol & Drug partnership, Health board, Scotland","Wilson's Score method","The implementation of DAISy introduced changes to how data are captured, and these should be considered when making comparisons over time. A 'co-dependency' substance type was introduced for cases where the referral relates to treatment for problematic use of both alcohol and drugs. Previously in DATWT, such cases would have been allocated to either ’alcohol’ or ‘drug’ depending on the substance considered the dominant issue. These data relate to number of referrals rather than number of individuals. Where people are referred to more than one service, they have more than one referral. Data includes referrals to community-based and hospital-based services (referrals to prison-based services are excluded). ADPs have the responsibility of ensuring the submission of accurate and up-to-date information by treatment services. To this end, each quarter ADPs are asked to check and confirm the data for their area. If an ADP is unable to confirm the data for a service, then the service is excluded from the data (both for the period of non-submission and all other periods). Two Ten (of 204) services have been excluded from this release as they were unable to confirm their data for at least one quarter up to the end of the 2022/23 financial year. For more information on the services excluded, see Section 6 5 of the National drug and alcohol treatment waiting times report, 1 April to 30 June 2023, available here: https://publichealthscotland.scot/publications/show-all-releases?id=20553","[National drug and alcohol treatment waiting times](https://publichealthscotland.scot/publications/national-drug-and-alcohol-treatment-waiting-times/)",NA,"Nov-2023","Oct-2025","Higher numbers are worse","L","Public Health Scotland, Drugs Team",1,"DRG-Services",NA,NA,NA,NA,"DRG-Services;;","[Drug use: treatment for drug use section](https://www.scotpho.org.uk/risk-factors/drugs/data/treatment-for-drug-use/)"
"Drug use last month, pupils age 15 years","Drugs, Children & young people","Drugs-Prevalence, Children & young people - Responsible","Percentage of 15 year old pupils who used illicit drugs in the last month.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","After SALSUS publication","Health board, Alcohol & drug partnership, Scotland",NA,NA,NA,NA,"Dec-2014","Archived","Higher numbers are worse","L","SALSUS",1,"DRG-Prevalence","CYP-Responsible",NA,NA,NA,"DRG-Prevalence;CYP-Responsible;",NA
"Drug use last year, pupils age 15 years","Drugs","Drugs-Prevalence","Percentage of 15 year old pupils who used illicit drugs in the last year.","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A",NA,"All S4 pupils participating the survey","Percentage","%","None","N",0,"None","Age 15 (S4)","All","Survey year","2006, 2010, 2013","Single year","After SALSUS publication","Health board, Alcohol & drug partnership",NA,NA,NA,NA,"Dec-2014","Archived","Higher numbers are worse","L","SALSUS",1,"DRG-Prevalence",NA,NA,NA,NA,"DRG-Prevalence;;",NA
"Drug-related deaths","Drugs,Care & wellbeing","Drugs-Health","Number of drug-related deaths: actual number and european age sex standardised rate per 100,000 population, single years.","National Records of Scotland (NRS)",NA,"F11-F19, X40-X44,X60-X64,X85,Y10-Y14","Number of drug related deaths","Total population","Age-sex standardised rate per 100,000","sr","Values less than 5 are suppressed","Y",5,"None","All","All","Calendar year","2001-2023","Single year","Annual","Health board, Council area, HSC partnership, Alcohol & drug partnership, Scotland","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.

Death figures are based on year of registration. Deaths are normally classified by geographical area on the basis of the usual place of residence of the deceased (or, if that is not known, or is outwith Scotland, on the basis of the location of the place of death).","[Drug-related deaths in Scotland](https://www.nrscotland.gov.uk/publications/drug-related-deaths-in-scotland-in-2023/)","More information about substance use in Scotland can be found on the [impoving scotlands health section](https://publichealthscotland.scot/population-health/improving-scotlands-health/substance-use/) of the Public Health Scotland website.","Feb-2025","Oct-2025","Higher numbers are worse","L","NRS (Public Health Scotland extraction)",2,"DRG-Health","CWB-Impact of ill health prevention",NA,"Deaths",NA,"DRG-Health;CWB-Impact of ill health prevention;","[Drug use: health harm section](https://www.scotpho.org.uk/risk-factors/drugs/data/health-harm/)"
"Drug-related deaths, females","Drugs, Mental Health","Mental Health-Female adult","Number of drug-related deaths for females: 5-year rolling average and directly age standardised rate per 100,000 female population","National Records of Scotland (NRS)",NA,"F11-F19, X40-X44,X60-X64,X85,Y10-Y14","Number of drug related deaths for females","Total female population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","Female","Year","2001-2023","5-year aggregate","Annual","Health board, Council area, HSC partnership, Alcohol & drug partnership, Scotland","Dobson's method","Death figures are based on year of registration. Deaths are normally classified by geographical area on the basis of the usual place of residence of the deceased (or, if that is not known, or is outwith Scotland, on the basis of the location of the place of death).","[Drug-related deaths in Scotland](https://www.nrscotland.gov.uk/publications/drug-related-deaths-in-scotland-in-2023/)","More information about substance use in Scotland can be found on the [impoving scotlands health section](https://publichealthscotland.scot/population-health/improving-scotlands-health/substance-use/) of the Public Health Scotland website.","Feb-2025","Oct-2025","Higher numbers are worse","L","NRS (Public Health Scotland extraction)",1,"DRG-Health",NA,NA,"Deaths",NA,"DRG-Health;;","[Drug use: health harm section](https://www.scotpho.org.uk/risk-factors/drugs/data/health-harm/)"
"Drug-related deaths, males","Drugs, Mental Health","Mental Health-Male adult","Number of drug-related deaths for males: 5-year rolling average and directly age standardised rate per 100,000 male population","National Records of Scotland (NRS)",NA,"F11-F19, X40-X44,X60-X64,X85,Y10-Y14","Number of drug related deaths for males","Total male population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","Males","Year","2001-2023","5-year aggregate","Annual","Health board, Council area, HSC partnership, Alcohol & drug partnership, Scotland","Dobson's method","Death figures are based on year of registration. Deaths are normally classified by geographical area on the basis of the usual place of residence of the deceased (or, if that is not known, or is outwith Scotland, on the basis of the location of the place of death).","[Drug-related deaths in Scotland](https://www.nrscotland.gov.uk/publications/drug-related-deaths-in-scotland-in-2023/)","More information about substance use in Scotland can be found on the [impoving scotlands health section](https://publichealthscotland.scot/population-health/improving-scotlands-health/substance-use/) of the Public Health Scotland website.","Feb-2025","Oct-2025","Higher numbers are worse","L","NRS (Public Health Scotland extraction)",1,"HWB-Life expectancy & mortality",NA,NA,"Deaths",NA,"HWB-Life expectancy & mortality;;","[Drug use: health harm section](https://www.scotpho.org.uk/risk-factors/drugs/data/health-harm/)"
"Drug-related hospital admissions","Drugs, Health & wellbeing,Care& Wellbeing","Health, Behaviours","General acute inpatient and day case stays with diagnosis of drug misuse in any position, 3-year rolling average number and directly age-sex standardised rate per 100,000 population. 
  
","Public Health Scotland (SMR01)",NA,"All diagnostic positions ICD10 codes: F11-F16, F18, F19, T40.0-T40.9, T52 (T40.2, T40.4, T42.3, T42.4, T43.6, T52 are only included if the admission also had a diagnosis of mental and behavioural disorder (F11-F16, F18, F19)","Total number of general acute inpatient and day case stays with a diagnosis of drug misuse in any position","Total population","Age-sex standardised rate per 100,000","sr","Statistical disclosure control has been applied.","N",0,"None","All","All","Financial year","2002/03 - 2023/24","3-year aggregate","Annual","HSC locality, HSC partnership, Alcohol & drug partnership, Council area, Health board, Scotland","Dobson's method","2022 populations have been temporarily used for small areas in 2023, due to data availability. This affects data for HSCP localities  and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2023 data become available.

The count and rates presented in this indicator do not admissions to psychiatric hospitals or A&E attendances. When figures are broken down by geographical area and age the numbers in some categories can be very small. This indicator therefore uses an averaged three-year period to ensure reasonably robust estimates for small areas. Rates have been standardised to the European Standard Population 2013.
  
Up to six diagnoses are recorded per admission, and episodes with either a main or a supplementary diagnosis of drug misuse are included. ICD-10 codes used are in line with the PHS Drug-related hospital statistics, which include overdoses. Note that some caution is necessary when using these data, as drug misuse may only be suspected and may not always be recorded by the hospital. The figures presented here are based on all drug-related diagnoses throughout the hospital stay and will reflect prevalence in the catchment area as well as local policy with regard to hospital admission and discharge. 
","[Drug-related hospital statistics](https://publichealthscotland.scot/publications/drug-related-hospital-statistics)",NA,"Apr-2025","Apr-2026","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database)",2,"HWB-Behaviours","DRG-Health",NA,"Hospital admissions",NA,"HWB-Behaviours;DRG-Health;","[Drugs section]([https://www.scotpho.org.uk/risk-factors/drugs/)"
"Drug-related hospital admissions, aged 11-25 years","Drugs, Children & young people","Health, Children & young people - Healthy","General acute inpatient and day case stays in young people aged 11-25 years with a diagnosis of drug misuse in any position, 3-year rolling average number and directly age-sex standardised rate per 100,000 population.","Public Health Scotland (SMR01)",NA,"All diagnostic positions ICD10 codes: F11-F16, F18, F19, T40.0-T40.9, T52 (T40.2, T40.4, T42.3, T42.4, T43.6, T52 are only included if the admission also had a diagnosis of mental and behavioural disorder (F11-F16, F18, F19)","Total number of general acute inpatient and day case stays in young people aged 11-25 years with a diagnosis of drug misuse in any position","Total population aged 11-25 years","Age-sex standardised rate per 100,000","sr","Statistical disclosure control has been applied.","N",0,"None","11-25 years","All","Financial year","2002/03 - 2023/24","3-year aggregate","Annual","Council area, Health board, Scotland","Dobson's method","2022 populations have been temporarily used for small areas in 2023, due to data availability. This affects data for HSCP localities  and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2023 data become available.

The count and rates presented in this indicator do not admissions to psychiatric hospitals or A&E attendances. When figures are broken down by geographical area and age the numbers in some categories can be very small. This indicator therefore uses an averaged three-year period to ensure reasonably robust estimates for small areas. Rates have been standardised to the European Standard Population 2013.
  
Up to six diagnoses are recorded per admission, and episodes with either a main or a supplementary diagnosis of drug misuse are included. ICD-10 codes used are in line with the PHS Drug-related hospital statistics, which include overdoses. Note that some caution is necessary when using these data, as drug misuse may only be suspected and may not always be recorded by the hospital. The figures presented here are based on all drug-related diagnoses throughout the hospital stay and will reflect prevalence in the catchment area as well as local policy with regard to hospital admission and discharge. ","[Drug-related hospital statistics](https://publichealthscotland.scot/publications/drug-related-hospital-statistics)",NA,"Apr-2025","Apr-2026","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database)",2,"CYP-Healthy",NA,NA,NA,NA,"CYP-Healthy;;","[Drugs section]([https://www.scotpho.org.uk/risk-factors/drugs/)"
"Dying in hospital","Health & wellbeing",NA,"Dying in hospital is defined as the percentage of deaths from all causes that occurred in hospital in a given year","Public Health Scotland/National Records of Scotland (NRS)","Lower levels of patients dying in hospital is intended to act as a measure of end-of-life planning. A lower percentage of deaths occurring in hospital in a given year is an indicator of quality for health and social care systems","N/A","Number of deaths from any cause that occurred in hospital in a given year","Number of deaths from any cause in a given year, irrespective of the place of death","Percentage","%","Values less than 5 are suppressed","Y",5,"None","All","All","Calendar year","2002-2004  to 2021-2023","3-year aggregate","Annual","Intermediate Zone, HSC Locality, Council area, Health board, Scotland","Wilson's Score method","Date of death taken from hospital date of discharge when type of admission code is patient deceased",NA,NA,"Dec-2024","Dec-2025","Higher numbers are worse","L","Public Health Scotland/National Records of Scotland (NRS) - provided by Public Health Scotland analyst team",NA,NA,NA,NA,"Deaths in hospital",NA,";",NA
"Early deaths from cancer, aged <75 years","Health & wellbeing","Life expectancy & mortality","Deaths from cancer (<75 years), 3 year rolling average number and directly age sex standardised rate per 100,000 population. 
  
 All rates have been standardised against the European standard population (ESP2013).","National Records of Scotland (NRS)",NA,"ICD9: 140-208 ICD10: C00-C97 (excl. C44) primary cause of death only","Number of deaths with cancer being the primary cause of death","Population aged under 75 years","Age-sex standardised rate per 100,000","sr","None","N",0,"None","<75 years","All","Calendar year","2002/04-2021/2023","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","2021 populations have been temporarily used for small areas in 2022, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2022 data become available.

Death figures are based on year of registration.",NA,NA,"Jan-2025","Winter 2025","Higher numbers are worse","L","NRS (SMR99) - we extract data from catalogue",1,"HWB-Life expectancy & mortality",NA,NA,"Deaths",NA,"HWB-Life expectancy & mortality;;","[Cancer section](https://www.scotpho.org.uk/health-conditions/cancer/)"
"Early deaths from coronary heart disease (CHD), aged <75 years","Health & wellbeing","Life expectancy & mortality","Deaths from coronary heart disease (CHD),  (<75 years), 3 year rolling average number and directly age sex standardised rate per 100,000 population. All rates have been standardised against the European standard population (ESP2013).","Public Health Scotland (SMR01)",NA,"ICD10: I20-I25 - main diagnosis only
  
 Historic diagnostic codes for information only: ICD9: 410 - 414","Number of deaths with CHD being the primary cause of death","Population aged under 75 years","Age-sex standardised rate per 100,000","sr","None","N",0,"None","<75 years","All","Calendar year","2002-2023","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","Death figures are based on year of registration.",NA,NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database) - extract data ourselves",1,"HWB-Life expectancy & mortality",NA,NA,"Deaths",NA,"HWB-Life expectancy & mortality;","[Heart disease section](https://www.scotpho.org.uk/health-conditions/coronary-heart-disease/)"
"Emergency patient hospitalisations","Health & wellbeing","Ill health & injury","Patients discharged from hospital following an emergency admission: 3 year rolling average number and directly age-sex standardised rate per 100,000 population.","Public Health Scotland (SMR01)",NA,"Admission codes 20 to 22, 30 to 40 (emergency and urgent admissions)","Number of patients admitted as an emergency","Total population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","All","Calendar year","2002-04 to 2021-23 (3 year aggregate)","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","2022 populations have been temporarily used for small areas in 2023, due to data availability. This affects data for HSCP localities, Intermediate Zones, and inequalities metrics (SII and RII). These data should be considered provisional. They will be updated when the 2023 data become available.

If one patient has one emergency admission to hospital in a year and another patient has 10 emergency admissions to hospital in the same year, then they would simply count as 2 patients with emergency admissions.
 
 All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates. Patient is selected once per year per geography. Since information is shown for different geographical levels of analysis (e.g. NHS Board, LA and IZ) it is likely that the data may show some inconsistencies, e.g. patients who are counted in different LA may only be counted once for the NHS Board.","[Acute hospital activity and NHS beds information publication](https://publichealthscotland.scot/publications/acute-hospital-activity-and-nhs-beds-information-annual/) ",NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database) - extract data ourselves",1,"HWB-Ill health & injury",NA,NA,"Patients",NA,"HWB-Ill health & injury;;","[Income and employment section](https://www.scotpho.org.uk/wider-determinants/income-and-employment/)"
